Station Name,LID,Modes of Transports
"Schubertstr., Rockershausen Saarbrücken","A=1@O=Schubertstr., Rockershausen Saarbrücken@X=6914736@Y=49249992@U=80@L=12101@",1152
"Rockershausen, Saarbrücken","A=1@O=Rockershausen, Saarbrücken@X=6915348@Y=49246396@U=80@L=12104@",1152
"Am Dachsbau, Rockershausen Saarbrücken","A=1@O=Am Dachsbau, Rockershausen Saarbrücken@X=6915437@Y=49253732@U=80@L=12102@",1152
"Ottenhausen, Gersweiler Saarbrücken","A=1@O=Ottenhausen, Gersweiler Saarbrücken@X=6915635@Y=49239574@U=80@L=11502@",1152
"Jahnstr., Altenkessel Saarbrücken","A=1@O=Jahnstr., Altenkessel Saarbrücken@X=6916112@Y=49257408@U=80@L=12011@",1152
"Rue des Écoles, Stiring-Wendel (F)","A=1@O=Rue des Écoles, Stiring-Wendel (F)@X=6916381@Y=49193540@U=80@L=19703@",128
"Burbacher Str., Altenkessel Saarbrücken","A=1@O=Burbacher Str., Altenkessel Saarbrücken@X=6916579@Y=49259359@U=80@L=12002@",1152
"Rathaus, Altenkessel Saarbrücken","A=1@O=Rathaus, Altenkessel Saarbrücken@X=6917065@Y=49261804@U=80@L=12005@",1152
"August-Müller-Str., Gersweiler Saarbrücken","A=1@O=August-Müller-Str., Gersweiler Saarbrücken@X=6918098@Y=49234315@U=80@L=11412@",1152
"Matzenberg, Saarbrücken Burbach","A=1@O=Matzenberg, Saarbrücken Burbach@X=6921496@Y=49245443@U=80@L=12218@",1152
"Matzenberg Siedlung, Saarbrücken Burbach","A=1@O=Matzenberg Siedlung, Saarbrücken Burbach@X=6922575@Y=49248554@U=80@L=12219@",128
"Pfählerstr., Gersweiler Saarbrücken","A=1@O=Pfählerstr., Gersweiler Saarbrücken@X=6923312@Y=49231861@U=80@L=11405@",1152
"Theresienstr., Gersweiler Saarbrücken","A=1@O=Theresienstr., Gersweiler Saarbrücken@X=6924355@Y=49237452@U=80@L=11408@",1152
"Rue St Henri, Stiring-Wendel (F)","A=1@O=Rue St Henri, Stiring-Wendel (F)@X=6925937@Y=49196470@U=80@L=19705@",128
"Füllengarten, Saarbrücken Burbach","A=1@O=Füllengarten, Saarbrücken Burbach@X=6926135@Y=49244257@U=80@L=12206@",1152
"Kirchenstr., Gersweiler Saarbrücken","A=1@O=Kirchenstr., Gersweiler Saarbrücken@X=6927294@Y=49234647@U=80@L=11404@",1152
"Füllengarten Siedlung, Saarbrücken Burbach","A=1@O=Füllengarten Siedlung, Saarbrücken Burbach@X=6928148@Y=49248266@U=80@L=12207@",1152
"Rue St Charles, Stiring-Wendel (F)","A=1@O=Rue St Charles, Stiring-Wendel (F)@X=6929712@Y=49197666@U=80@L=19702@",128
"Markt, Gersweiler Saarbrücken","A=1@O=Markt, Gersweiler Saarbrücken@X=6930512@Y=49236841@U=80@L=11402@",1152
"Völklinger Str., Saarbrücken Burbach","A=1@O=Völklinger Str., Saarbrücken Burbach@X=6931384@Y=49243861@U=80@L=12213@",1152
"Ulmenstr., Saarbrücken Burbach","A=1@O=Ulmenstr., Saarbrücken Burbach@X=6933506@Y=49250936@U=80@L=12212@",1152
"InnovationsCampus West, Saarbrücken Burbach","A=1@O=InnovationsCampus West, Saarbrücken Burbach@X=6933659@Y=49246226@U=80@L=12223@",128
"Heuweg, Gersweiler Saarbrücken","A=1@O=Heuweg, Gersweiler Saarbrücken@X=6934036@Y=49236652@U=80@L=11403@",1152
"Theresienheim, Saarbrücken Burbach","A=1@O=Theresienheim, Saarbrücken Burbach@X=6937021@Y=49242432@U=80@L=12211@",1152
"Am Freibüsch, Saarbrücken Burbach","A=1@O=Am Freibüsch, Saarbrücken Burbach@X=6937632@Y=49251565@U=80@L=12202@",1152
